City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
0,Vardo,70.3705,31.1107,53.8,96,100,8.7,NO,light rain,2021-08-01 21:56:48
1,Lavrentiya,65.5833,-171.0,41.14,84,100,12.68,RU,light rain,2021-08-01 22:00:17
2,Rikitea,-23.1203,-134.9692,69.31,58,53,22.48,PF,broken clouds,2021-08-01 21:58:30
3,Cabo San Lucas,22.8909,-109.9124,93.61,70,66,1.99,MX,broken clouds,2021-08-01 22:00:17
4,Mataura,-46.1927,168.8643,42.48,95,80,2.82,NZ,broken clouds,2021-08-01 21:58:34
5,Hermanus,-34.4187,19.2345,57.9,79,94,2.19,ZA,overcast clouds,2021-08-01 21:57:08
6,Buseresere,-3.0236,31.8747,66.15,44,2,3.62,TZ,clear sky,2021-08-01 22:00:18
7,Albany,42.6001,-73.9662,73.51,75,86,7.52,US,overcast clouds,2021-08-01 22:00:00
8,Adrar,20.5022,-10.0711,95.02,25,29,8.43,MR,scattered clouds,2021-08-01 22:00:19
9,Tasiilaq,65.6145,-37.6368,42.71,76,38,4.83,GL,scattered clouds,2021-08-01 21:56:43
10,Barrow,71.2906,-156.7887,45.68,79,100,20.11,US,overcast clouds,2021-08-01 22:00:20
11,Salalah,17.0151,54.0924,75.38,92,100,5.91,OM,overcast clouds,2021-08-01 21:59:06
12,Castro,-24.7911,-50.0119,48.43,85,67,2.39,BR,broken clouds,2021-08-01 21:56:29
13,Bredasdorp,-34.5322,20.0403,58.32,72,83,4.61,ZA,broken clouds,2021-08-01 21:57:37
14,Noumea,-22.2763,166.4572,69.01,99,55,8.01,NC,broken clouds,2021-08-01 22:00:21
15,Atuona,-9.8,-139.0333,77.11,69,31,11.18,PF,scattered clouds,2021-08-01 21:58:33
16,Cherskiy,68.75,161.3,36.93,82,97,18.99,RU,overcast clouds,2021-08-01 21:57:25
17,Kaitangata,-46.2817,169.8464,45.75,93,32,4.5,NZ,scattered clouds,2021-08-01 22:00:22
18,Busselton,-33.65,115.3333,53.98,60,92,9.17,AU,overcast clouds,2021-08-01 22:00:23
19,Kropotkin,45.4375,40.5756,78.21,39,61,4.85,RU,broken clouds,2021-08-01 22:00:23
20,Yellowknife,62.456,-114.3525,87.33,28,1,1.99,CA,clear sky,2021-08-01 22:00:24
21,Lafayette,30.2335,-92.0668,92.91,71,80,4.0,US,broken clouds,2021-08-01 22:00:25
22,Morogoro,-6.8167,37.6667,66.13,75,39,3.89,TZ,scattered clouds,2021-08-01 22:00:25
23,Rudbar,30.15,62.6,85.64,15,0,19.22,AF,clear sky,2021-08-01 21:59:05
24,Dongsheng,39.8161,109.9776,60.3,63,17,9.73,CN,few clouds,2021-08-01 22:00:26
25,Dodge City,37.7528,-100.0171,85.24,41,76,11.99,US,broken clouds,2021-08-01 22:00:27
26,Lompoc,34.6391,-120.4579,90.12,64,20,8.99,US,few clouds,2021-08-01 21:58:00
27,Puerto Leguizamo,-0.1934,-74.7819,71.28,84,100,0.49,CO,overcast clouds,2021-08-01 22:00:27
28,Torbay,47.6666,-52.7314,68.77,68,20,21.85,CA,few clouds,2021-08-01 21:57:20
29,Atyrau,47.1167,51.8833,73.42,31,0,8.95,KZ,clear sky,2021-08-01 22:00:28
30,Avarua,-21.2078,-159.775,75.25,94,75,12.66,CK,light rain,2021-08-01 21:57:21
31,Cap Malheureux,-19.9842,57.6142,67.46,81,17,1.01,MU,light rain,2021-08-01 22:00:28
32,Dikson,73.5069,80.5464,39.7,99,99,8.08,RU,overcast clouds,2021-08-01 21:57:19
33,Onguday,50.75,86.15,50.04,88,27,2.84,RU,scattered clouds,2021-08-01 22:00:29
34,Upernavik,72.7868,-56.1549,42.84,80,23,12.37,GL,few clouds,2021-08-01 21:55:54
35,Chokurdakh,70.6333,147.9167,40.77,66,30,8.1,RU,scattered clouds,2021-08-01 22:00:30
36,Butaritari,3.0707,172.7902,83.17,69,10,10.38,KI,clear sky,2021-08-01 21:57:14
37,Faanui,-16.4833,-151.75,77.76,68,36,14.63,PF,scattered clouds,2021-08-01 22:00:17
38,Prince Rupert,54.3161,-130.3201,65.14,79,87,5.66,CA,overcast clouds,2021-08-01 22:00:31
39,Saskylakh,71.9167,114.0833,72.07,46,0,3.38,RU,clear sky,2021-08-01 21:57:25
40,Jumla,29.2747,82.1838,63.88,93,99,0.22,NP,overcast clouds,2021-08-01 22:00:32
41,Ekibastuz,51.6667,75.3667,72.77,48,14,6.44,KZ,few clouds,2021-08-01 22:00:33
42,Ushuaia,-54.8,-68.3,46.06,46,20,18.41,AR,few clouds,2021-08-01 21:55:20
43,Norman Wells,65.282,-126.8329,91.6,20,0,2.64,CA,clear sky,2021-08-01 22:00:34
44,Saint-Philippe,-21.3585,55.7679,67.55,77,49,9.08,RE,scattered clouds,2021-08-01 22:00:34
45,Jamestown,42.097,-79.2353,70.02,65,46,5.99,US,scattered clouds,2021-08-01 21:58:33
46,Midland,31.9974,-102.0779,82.45,60,40,11.5,US,scattered clouds,2021-08-01 22:00:08
47,Olafsvik,64.8945,-23.7142,53.85,92,100,1.7,IS,overcast clouds,2021-08-01 22:00:35
48,Egvekinot,66.3167,-179.1667,42.87,62,53,1.57,RU,broken clouds,2021-08-01 22:00:36
49,Poninka,50.1849,27.5363,67.71,77,35,7.23,UA,scattered clouds,2021-08-01 22:00:36
50,Arraial Do Cabo,-22.9661,-42.0278,71.56,77,0,8.05,BR,clear sky,2021-08-01 21:56:38
51,Vila Franca Do Campo,37.7167,-25.4333,72.01,96,87,8.81,PT,overcast clouds,2021-08-01 22:00:37
52,Faya,18.3851,42.4509,66.27,67,97,2.91,SA,overcast clouds,2021-08-01 22:00:37
53,San Juan,-31.5375,-68.5364,61.86,22,0,8.1,AR,clear sky,2021-08-01 22:00:26
54,Ambon,-3.6954,128.1814,75.34,94,40,8.05,ID,scattered clouds,2021-08-01 21:58:06
55,Georgetown,5.4112,100.3354,75.88,92,20,2.3,MY,few clouds,2021-08-01 21:59:57
56,Seoul,37.5683,126.9778,78.19,94,90,2.3,KR,light rain,2021-08-01 21:57:52
57,Zeya,53.75,127.2667,54.63,99,100,2.26,RU,overcast clouds,2021-08-01 22:00:38
58,Leona Vicario,20.9667,-87.1917,89.82,49,48,8.43,MX,scattered clouds,2021-08-01 22:00:39
59,Punta Arenas,-53.15,-70.9167,44.11,65,82,22.26,CL,broken clouds,2021-08-01 22:00:39
60,Bethel,41.3712,-73.414,74.48,83,60,8.39,US,broken clouds,2021-08-01 21:59:38
61,Sao Francisco De Assis,-29.5503,-55.1311,54.91,76,0,4.74,BR,clear sky,2021-08-01 22:00:40
62,Vaini,-21.2,-175.2,73.56,78,20,20.71,TO,few clouds,2021-08-01 21:57:13
63,Thompson,55.7435,-97.8558,84.36,32,20,12.66,CA,few clouds,2021-08-01 21:58:35
64,Ancud,-41.8697,-73.8203,46.36,80,59,3.62,CL,broken clouds,2021-08-01 22:00:41
65,Mayumba,-3.432,10.6554,74.03,84,99,7.58,GA,overcast clouds,2021-08-01 22:00:41
66,Nizhniy Kuranakh,58.8353,125.4869,56.19,98,100,6.71,RU,heavy intensity rain,2021-08-01 22:00:42
67,Glomfjord,66.8167,13.9667,45.45,86,94,2.77,NO,overcast clouds,2021-08-01 22:00:42
68,Lebu,-37.6167,-73.65,50.88,75,37,19.08,CL,scattered clouds,2021-08-01 21:57:56
69,Omboue,-1.5746,9.2618,75.22,81,99,9.55,GA,overcast clouds,2021-08-01 22:00:43
70,Kargil,34.5667,76.1,56.39,58,1,6.46,IN,clear sky,2021-08-01 22:00:44
71,Khatanga,71.9667,102.5,62.56,72,46,9.64,RU,scattered clouds,2021-08-01 21:55:33
72,Kapaa,22.0752,-159.319,84.18,80,73,4.0,US,broken clouds,2021-08-01 22:00:44
73,Touros,-5.1989,-35.4608,79.7,74,5,19.42,BR,clear sky,2021-08-01 21:58:50
74,Serra Talhada,-7.9919,-38.2983,70.23,72,66,15.01,BR,broken clouds,2021-08-01 22:00:44
75,Charters Towers,-20.1,146.2667,63.93,87,12,5.91,AU,few clouds,2021-08-01 22:00:17
76,Puerto Ayora,-0.7393,-90.3518,72.55,88,51,10.0,EC,broken clouds,2021-08-01 22:00:45
77,Sola,-13.8833,167.55,75.34,62,99,10.09,VU,overcast clouds,2021-08-01 22:00:45
78,Nelson Bay,-32.7167,152.15,57.99,62,91,8.9,AU,overcast clouds,2021-08-01 22:00:46
79,Hobart,-42.8794,147.3294,40.12,86,0,1.99,AU,clear sky,2021-08-01 22:00:07
80,Marystown,47.1666,-55.1483,61.81,80,64,13.38,CA,broken clouds,2021-08-01 22:00:46
81,Dingle,10.9995,122.6711,77.95,87,100,8.9,PH,overcast clouds,2021-08-01 22:00:47
82,Hofn,64.2539,-15.2082,53.71,94,99,4.76,IS,overcast clouds,2021-08-01 22:00:47
83,Nemuro,43.3236,145.575,65.82,99,100,8.52,JP,overcast clouds,2021-08-01 22:00:48
84,Port Alfred,-33.5906,26.891,60.84,83,36,25.93,ZA,scattered clouds,2021-08-01 21:56:49
85,Saldanha,-33.0117,17.9442,48.25,88,71,8.93,ZA,broken clouds,2021-08-01 21:58:09
86,Chippewa Falls,44.9369,-91.3929,73.81,53,24,8.01,US,few clouds,2021-08-01 21:58:03
87,Pevek,69.7008,170.3133,33.46,97,100,14.38,RU,overcast clouds,2021-08-01 22:00:48
88,Nanuque,-17.8392,-40.3539,64.49,69,99,11.59,BR,overcast clouds,2021-08-01 22:00:49
89,Amalapuram,16.5833,82.0167,83.12,62,100,4.36,IN,overcast clouds,2021-08-01 22:00:50
90,Lorengau,-2.0226,147.2712,84.27,73,35,11.03,PG,scattered clouds,2021-08-01 22:00:50
91,Bambous Virieux,-20.3428,57.7575,67.21,67,53,15.57,MU,broken clouds,2021-08-01 22:00:50
92,Usinsk,65.9939,57.5281,47.14,95,87,11.14,RU,overcast clouds,2021-08-01 21:58:52
93,Tuktoyaktuk,69.4541,-133.0374,55.11,77,100,13.33,CA,overcast clouds,2021-08-01 22:00:51
94,Severo-Kurilsk,50.6789,156.125,55.53,73,0,14.61,RU,clear sky,2021-08-01 22:00:52
95,Sistranda,63.7256,8.834,50.9,69,100,11.34,NO,overcast clouds,2021-08-01 22:00:52
96,Cidreira,-30.1811,-50.2056,57.18,91,88,7.0,BR,overcast clouds,2021-08-01 21:57:57
97,Mabaruma,8.2,-59.7833,76.75,94,15,3.42,GY,few clouds,2021-08-01 22:00:53
98,Klaksvik,62.2266,-6.589,47.32,82,57,7.47,FO,broken clouds,2021-08-01 22:00:53
99,Rovaniemi,66.5,25.7167,54.81,94,75,4.61,FI,broken clouds,2021-08-01 22:00:54
100,Ribeira Grande,38.5167,-28.7,73.29,94,59,14.67,PT,broken clouds,2021-08-01 22:00:54
101,Merauke,-8.4667,140.3333,74.07,82,8,12.64,ID,clear sky,2021-08-01 22:00:54
102,Brae,60.3964,-1.353,49.91,79,100,12.73,GB,overcast clouds,2021-08-01 22:00:55
103,San Jeronimo,-11.9472,-75.2829,55.06,53,92,6.29,PE,overcast clouds,2021-08-01 22:00:55
104,Ambilobe,-13.2,49.05,67.8,81,5,3.44,MG,clear sky,2021-08-01 21:59:32
105,Grand Gaube,-20.0064,57.6608,67.37,81,23,1.01,MU,light rain,2021-08-01 22:00:56
106,Tura,25.5198,90.2201,73.54,98,91,3.27,IN,light rain,2021-08-01 22:00:57
107,Pangnirtung,66.1451,-65.7125,53.29,70,100,2.89,CA,overcast clouds,2021-08-01 21:56:35
108,Bloomington,44.8408,-93.2983,80.73,39,4,14.0,US,clear sky,2021-08-01 21:58:51
109,Portland,45.5234,-122.6762,95.43,40,20,1.01,US,few clouds,2021-08-01 22:00:10
110,Majene,-3.5403,118.9707,76.96,87,74,7.96,ID,broken clouds,2021-08-01 21:59:54
111,Bahia Blanca,-38.7196,-62.2724,51.39,41,0,7.99,AR,clear sky,2021-08-01 21:56:45
112,Matara,5.9485,80.5353,77.86,87,100,9.33,LK,overcast clouds,2021-08-01 22:00:57
113,Bathsheba,13.2167,-59.5167,81.82,73,3,11.32,BB,clear sky,2021-08-01 22:00:58
114,Cairns,-16.9167,145.7667,69.06,88,60,4.61,AU,broken clouds,2021-08-01 21:56:49
115,Yarmouth,41.7057,-70.2286,74.44,69,100,1.99,US,overcast clouds,2021-08-01 22:00:23
116,Lerwick,60.1545,-1.1494,50.0,80,100,12.86,GB,overcast clouds,2021-08-01 22:00:58
117,Bilibino,68.0546,166.4372,43.47,53,73,6.82,RU,broken clouds,2021-08-01 22:00:59
118,Nuuk,64.1835,-51.7216,61.41,55,75,4.61,GL,broken clouds,2021-08-01 22:00:42
119,Kuytun,54.3419,101.5036,54.93,96,100,11.01,RU,light rain,2021-08-01 22:01:00
120,Souillac,-20.5167,57.5167,68.38,94,75,11.5,MU,broken clouds,2021-08-01 21:58:15
121,Isangel,-19.55,169.2667,68.11,88,75,0.0,VU,broken clouds,2021-08-01 21:57:32
122,Bluff,-46.6,168.3333,42.8,84,97,7.09,NZ,overcast clouds,2021-08-01 21:57:39
123,Kouroussa,10.65,-9.8833,71.49,95,96,4.25,GN,overcast clouds,2021-08-01 22:01:01
124,San Patricio,28.017,-97.5169,97.52,48,99,16.55,US,overcast clouds,2021-08-01 21:59:08
125,Mena,51.5217,32.2157,67.57,84,13,6.26,UA,few clouds,2021-08-01 22:01:01
126,Kruisfontein,-34.0033,24.7314,56.88,77,86,17.05,ZA,overcast clouds,2021-08-01 22:01:02
127,Sitka,57.0531,-135.33,64.29,72,75,5.75,US,broken clouds,2021-08-01 21:58:47
128,Manadhoo,5.7667,73.3833,82.87,75,100,13.58,MV,overcast clouds,2021-08-01 22:01:03
129,Barda,40.3744,47.1267,77.45,50,95,5.39,AZ,overcast clouds,2021-08-01 22:01:03
130,Ponta Do Sol,32.6667,-17.1,72.23,72,1,7.31,PT,clear sky,2021-08-01 22:01:04
131,Cockburn Town,21.4612,-71.1419,82.13,79,99,19.77,TC,overcast clouds,2021-08-01 22:01:04
132,Drumnadrochit,57.3344,-4.4799,55.09,92,53,1.97,GB,broken clouds,2021-08-01 22:01:04
133,Kisangani,0.5167,25.2,73.47,85,100,2.46,CD,overcast clouds,2021-08-01 21:57:25
134,Airai,-8.9266,125.4092,56.1,85,23,2.82,TL,few clouds,2021-08-01 21:56:55
135,Narsaq,60.9167,-46.05,51.75,70,100,3.71,GL,light rain,2021-08-01 21:59:16
136,Puerto Colombia,10.9878,-74.9547,87.89,81,15,18.05,CO,few clouds,2021-08-01 21:58:54
137,Nokaneng,-19.6667,22.2667,56.01,44,0,6.96,BW,clear sky,2021-08-01 22:01:05
138,Luancheng,37.8792,114.6517,72.01,86,54,4.83,CN,broken clouds,2021-08-01 22:01:06
139,Tuatapere,-46.1333,167.6833,42.82,89,100,4.21,NZ,moderate rain,2021-08-01 21:57:31
140,Clyde River,70.4692,-68.5914,39.61,88,100,7.0,CA,overcast clouds,2021-08-01 22:01:06
141,Qaanaaq,77.484,-69.3632,42.93,82,89,1.1,GL,overcast clouds,2021-08-01 21:58:22
142,Stroud,51.75,-2.2,60.91,79,41,6.02,GB,scattered clouds,2021-08-01 22:00:04
143,Ulladulla,-35.35,150.4667,44.87,88,1,4.18,AU,clear sky,2021-08-01 21:57:37
144,Kavieng,-2.5744,150.7967,82.71,75,3,9.24,PG,clear sky,2021-08-01 21:57:53
145,Sandpoint,48.2766,-116.5533,87.62,48,1,5.75,US,clear sky,2021-08-01 21:57:15
146,Soanierana Ivongo,-16.9167,49.5833,66.2,91,55,3.33,MG,light rain,2021-08-01 22:01:07
147,Kamina,-8.7386,24.9906,63.52,40,73,4.0,CD,broken clouds,2021-08-01 21:59:17
148,College,64.8569,-147.8028,74.28,54,75,3.44,US,broken clouds,2021-08-01 21:56:07
149,Carnarvon,-24.8667,113.6333,50.07,66,0,11.5,AU,clear sky,2021-08-01 21:57:30
150,Katsuura,35.1333,140.3,85.1,78,3,5.26,JP,clear sky,2021-08-01 22:01:08
151,Nikolskoye,59.7035,30.7861,63.01,91,26,4.9,RU,scattered clouds,2021-08-01 21:57:22
152,Bowen,-20.0167,148.2333,67.96,78,10,5.93,AU,clear sky,2021-08-01 22:01:08
153,Haverhill,42.7762,-71.0773,77.09,64,79,3.0,US,broken clouds,2021-08-01 22:01:08
154,Hambantota,6.1241,81.1185,77.34,100,0,6.91,LK,clear sky,2021-08-01 22:01:09
155,Laguna,38.421,-121.4238,107.2,30,1,5.01,US,clear sky,2021-08-01 22:01:09
156,Turka,49.1541,23.0297,63.14,75,66,6.71,UA,broken clouds,2021-08-01 22:01:10
157,Kavaratti,10.5669,72.642,82.08,77,77,15.86,IN,broken clouds,2021-08-01 21:56:46
158,Tateyama,34.9833,139.8667,85.01,75,2,4.74,JP,clear sky,2021-08-01 22:01:10
159,Cayenne,4.9333,-52.3333,84.24,79,0,3.0,GF,clear sky,2021-08-01 22:00:09
160,Coahuayana,18.7333,-103.6833,90.5,61,8,6.15,MX,clear sky,2021-08-01 22:01:11
161,Hithadhoo,-0.6,73.0833,81.07,72,91,6.98,MV,overcast clouds,2021-08-01 21:56:01
162,Dosso,13.049,3.1937,83.75,62,90,13.85,NE,overcast clouds,2021-08-01 22:01:11
163,Miguel Hidalgo,19.4225,-99.2028,74.43,67,90,12.66,MX,thunderstorm with rain,2021-08-01 22:01:11
164,Longyearbyen,78.2186,15.6401,44.44,76,75,13.8,SJ,light rain,2021-08-01 21:58:14
165,Codrington,-38.2667,141.9667,43.18,84,0,16.02,AU,clear sky,2021-08-01 22:01:12
166,Solnechnyy,50.7214,136.6319,58.68,82,98,4.03,RU,overcast clouds,2021-08-01 22:01:12
167,Opuwo,-18.0607,13.84,61.59,29,0,6.62,NA,clear sky,2021-08-01 22:01:13
168,Mar Del Plata,-38.0023,-57.5575,46.09,31,90,3.0,AR,mist,2021-08-01 22:01:13
169,Zaozerne,45.1582,33.2787,73.94,68,0,3.09,UA,clear sky,2021-08-01 21:58:27
170,Fairbanks,64.8378,-147.7164,74.3,52,75,3.44,US,broken clouds,2021-08-01 21:56:38
171,Dubovyy Umet,52.9763,50.2857,73.29,50,72,3.71,RU,broken clouds,2021-08-01 22:01:14
172,East London,-33.0153,27.9116,62.8,60,29,19.93,ZA,scattered clouds,2021-08-01 21:57:28
173,Ha Noi,21.0245,105.8412,80.6,94,89,4.59,VN,overcast clouds,2021-08-01 21:59:10
174,Hilo,19.7297,-155.09,80.8,79,75,1.99,US,light rain,2021-08-01 22:00:11
175,Antalaha,-14.9003,50.2788,66.25,89,90,6.33,MG,overcast clouds,2021-08-01 22:01:14
176,Blovice,49.5822,13.5401,60.89,84,100,11.1,CZ,overcast clouds,2021-08-01 22:01:15
177,Nurota,40.5614,65.6886,75.87,15,0,7.2,UZ,clear sky,2021-08-01 22:01:15
178,Cape Town,-33.9258,18.4232,58.12,80,64,4.0,ZA,broken clouds,2021-08-01 22:01:16
179,Marigot,18.0667,-63.0833,83.75,74,4,14.85,MF,clear sky,2021-08-01 22:01:16
180,Luderitz,-26.6481,15.1594,65.52,37,0,5.95,NA,clear sky,2021-08-01 21:57:01
181,Rundu,-17.9333,19.7667,57.07,41,0,6.8,NA,clear sky,2021-08-01 22:01:16
182,Linxia,35.6003,103.2064,63.37,56,13,4.27,CN,few clouds,2021-08-01 22:01:17
183,Whyalla,-33.0333,137.5833,39.09,93,0,5.75,AU,clear sky,2021-08-01 21:59:34
184,Mongu,-15.2484,23.1274,60.35,45,3,8.72,ZM,clear sky,2021-08-01 22:01:17
185,Archidona,37.0965,-4.3887,71.42,25,46,2.17,ES,scattered clouds,2021-08-01 22:01:18
186,Beremend,45.7911,18.4326,70.45,80,45,8.39,HU,scattered clouds,2021-08-01 22:01:18
187,Guozhen,34.3659,107.359,77.49,49,8,2.33,CN,clear sky,2021-08-01 22:01:18
188,Komsomolskiy,40.4272,71.7189,78.22,27,100,2.73,UZ,overcast clouds,2021-08-01 22:01:19
189,Beringovskiy,63.05,179.3167,46.47,74,40,16.71,RU,scattered clouds,2021-08-01 22:01:19
190,Aksarka,66.5606,67.7975,56.5,98,100,6.24,RU,overcast clouds,2021-08-01 22:01:19
191,Malakal,9.5334,31.6605,70.93,96,100,0.87,SS,overcast clouds,2021-08-01 22:01:20
